name	type	source	detector	wavelength_nominal	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
S1_D11 760	NIRSCWAMPLITUDE	S1	D11	760.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S1_D11 850	NIRSCWAMPLITUDE	S1	D11	850.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S1_D12 760	NIRSCWAMPLITUDE	S1	D12	760.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S1_D12 850	NIRSCWAMPLITUDE	S1	D12	850.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S1_D15 760	NIRSCWAMPLITUDE	S1	D15	760.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S1_D15 850	NIRSCWAMPLITUDE	S1	D15	850.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S1_D16 760	NIRSCWAMPLITUDE	S1	D16	760.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S1_D16 850	NIRSCWAMPLITUDE	S1	D16	850.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S2_D1 760	NIRSCWAMPLITUDE	S2	D1	760.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S2_D1 850	NIRSCWAMPLITUDE	S2	D1	850.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S2_D4 760	NIRSCWAMPLITUDE	S2	D4	760.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S2_D4 850	NIRSCWAMPLITUDE	S2	D4	850.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S2_D5 760	NIRSCWAMPLITUDE	S2	D5	760.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S2_D5 850	NIRSCWAMPLITUDE	S2	D5	850.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S2_D6 760	NIRSCWAMPLITUDE	S2	D6	760.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S2_D6 850	NIRSCWAMPLITUDE	S2	D6	850.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S3_D1 760	NIRSCWAMPLITUDE	S3	D1	760.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S3_D1 850	NIRSCWAMPLITUDE	S3	D1	850.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S3_D2 760	NIRSCWAMPLITUDE	S3	D2	760.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S3_D2 850	NIRSCWAMPLITUDE	S3	D2	850.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S3_D3 760	NIRSCWAMPLITUDE	S3	D3	760.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S3_D3 850	NIRSCWAMPLITUDE	S3	D3	850.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S3_D5 760	NIRSCWAMPLITUDE	S3	D5	760.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
